Process,tempC,minutes,fosaWmn,fosaWsd,fosaGmn,fosaGsd,palazWmn,palazWsd,palazGmn,palazGsd,tombulWmn,tombulWsd,tombulGmn,tombulGsd
1,0,0,82.56,1.22,81.66,2.18,78.39,1.86,81.88,1.65,82.96,1.35,79.9,0.25
2,125,15,81.05,1.43,74.14,0.4,79.46,0.46,74.65,1.61,78.32,0.41,72.72,0.28
3,125,25,76.81,1.58,74.9,0.59,75.97,1.32,74.12,1.51,76.83,1.21,71.69,0.21
4,125,35,76.32,1.99,74.59,1.05,74.27,2.06,72.48,0.93,74.75,0.94,70.99,0.39
5,125,45,74.56,1.8,72.63,0.58,73.6,1.66,71.03,0.83,72.71,0.92,70.01,0.22
6,125,55,73.55,1.65,72.22,0.67,72.08,0.4,70.43,0.52,70.44,1.29,69.14,0.3
7,135,13,79.33,0.91,75.36,1.32,78.77,0.62,73.46,1.88,77.69,0.67,72.23,0.25
8,135,22,78.51,1.21,73.63,0.79,76,1.06,71.75,0.81,76.98,0.68,71.6,0.22
9,135,31,75.7,1.08,72.13,0.4,75.24,1.12,71.57,0.6,75.93,1.62,71.05,0.55
10,135,40,73.84,1.82,70.65,0.91,74.24,0.7,70.03,1.23,71.81,0.59,68.58,0.63
11,135,50,71.87,0.79,69,0.8,69.75,0.97,68.8,0.76,70.24,1.3,67.52,0.49
12,145,12,80.74,1,74.6,0.86,78.26,0.79,72.83,0.57,78.76,0.57,71.61,0.46
13,145,20,77.81,1.01,72.12,0.97,76.33,1.5,71.64,0.72,76.68,0.76,71.2,0.42
14,145,28,73.7,2.22,69.89,0.29,74.99,1.86,70.17,0.63,75.98,0.65,69.49,0.43
15,145,36,72.11,1.64,67.98,0.51,70.7,1.28,67.84,0.21,73.62,0.85,69.04,0.67
16,145,45,68.07,1.11,64.89,0.87,68.55,1.61,65.54,1.17,70.41,1.19,65.24,0.54
17,155,11,79.94,1.32,75.11,0.89,78.77,1.54,74.4,1.49,79.13,0.4,72.59,0.32
18,155,18,77.26,1.17,71.95,0.3,76.3,0.77,72.17,0.79,76.49,0.88,70.62,0.57
19,155,25,73.3,1.52,67.73,1.19,73.7,1.03,69.97,0.42,73.96,1.72,68.2,0.61
20,155,32,70.71,1.09,65.63,1.28,70.36,0.97,67.03,0.69,72.44,1.39,65.18,0.68
21,155,40,67.1,1.97,63.13,0.93,67.83,1.6,64.49,1.15,68.54,1.14,62.42,0.29
22,165,10,79.83,1.17,76.12,1.15,78.19,0.71,73.21,1.23,78.54,0.99,72.11,0.52
23,165,15,77.89,2.15,73.61,0.98,75.88,0.92,72.38,0.17,76.2,0.87,71,0.24
24,165,20,75.64,1.7,70.22,0.45,73.72,1.3,70.92,0.38,73.76,1.67,69.01,0.66
25,165,25,73.7,1.41,67.04,0.59,71.92,0.79,66.82,0.59,71.79,1.06,65.28,0.72
26,165,30,68.41,2.53,64.55,1.44,68.72,0.92,63.7,0.69,70.08,1.17,64,0.6
